away_team_score,game_date,home_team_score,month,year,game_time,id,away_team,boardse,highlight_thumb,highlight_url,home_team,record_type,remarks,stadium,victory_team
,2020-03-14,,3,2020,13:00,1,SK,,,,한화,경기일정,기타,한밭,
,2020-03-14,,3,2020,13:00,2,두산,,,,삼성,경기일정,기타,대구,
,2020-03-14,,3,2020,13:00,3,LG,,,,NC,경기일정,기타,창원,
,2020-03-14,,3,2020,13:00,4,롯데,,,,KIA,경기일정,기타,광주,
,2020-03-14,,3,2020,13:00,5,KT,,,,키움,경기일정,기타,고척,
,2020-03-15,,3,2020,13:00,9,롯데,,,,KIA,경기일정,기타,광주,
,2020-03-15,,3,2020,13:00,8,LG,,,,NC,경기일정,기타,창원,
,2020-03-15,,3,2020,13:00,7,두산,,,,삼성,경기일정,기타,대구,
,2020-03-15,,3,2020,13:00,6,SK,,,,한화,경기일정,기타,한밭,
,2020-03-15,,3,2020,13:00,10,KT,,,,키움,경기일정,기타,고척,
,2020-03-16,,3,2020,13:00,11,롯데,,,,한화,경기일정,기타,한밭,
,2020-03-16,,3,2020,13:00,12,KT,,,,삼성,경기일정,기타,대구,
,2020-03-16,,3,2020,13:00,13,두산,,,,NC,경기일정,기타,창원,
,2020-03-16,,3,2020,13:00,14,LG,,,,KIA,경기일정,기타,광주,
,2020-03-16,,3,2020,13:00,15,SK,,,,키움,경기일정,기타,고척,
,2020-03-17,,3,2020,13:00,16,롯데,,,,한화,경기일정,기타,한밭,
,2020-03-17,,3,2020,13:00,17,KT,,,,삼성,경기일정,기타,대구,
,2020-03-17,,3,2020,13:00,18,두산,,,,NC,경기일정,기타,창원,
,2020-03-17,,3,2020,13:00,19,LG,,,,KIA,경기일정,기타,광주,
,2020-03-17,,3,2020,13:00,20,SK,,,,키움,경기일정,기타,고척,
,2020-03-19,,3,2020,13:00,24,KIA,,,,KT,경기일정,기타,수원,
,2020-03-19,,3,2020,13:00,23,삼성,,,,SK,경기일정,기타,문학,
,2020-03-19,,3,2020,13:00,22,롯데,,,,LG,경기일정,기타,잠실,
,2020-03-19,,3,2020,13:00,21,NC,,,,한화,경기일정,기타,한밭,
,2020-03-19,,3,2020,13:00,25,두산,,,,키움,경기일정,기타,고척,
,2020-03-20,,3,2020,13:00,27,롯데,,,,LG,경기일정,기타,잠실,
,2020-03-20,,3,2020,13:00,26,NC,,,,한화,경기일정,기타,한밭,
,2020-03-20,,3,2020,13:00,28,삼성,,,,SK,경기일정,기타,문학,
,2020-03-20,,3,2020,13:00,29,KIA,,,,KT,경기일정,기타,수원,
,2020-03-20,,3,2020,13:00,30,두산,,,,키움,경기일정,기타,고척,
,2020-03-21,,3,2020,13:00,31,두산,,,,LG,경기일정,기타,잠실,
,2020-03-21,,3,2020,13:00,32,KIA,,,,SK,경기일정,기타,문학,
