p_no	player_name	KBO_id	img_url	back_no	birth	position	height	weight	history	signing_fee	salary	draft	join_year	IDKEY	Year	Age	Pos.	G	hand	player_type	b_AB	b_AVG	p_BK	p_CG	b_CS	p_ER	p_ERA	p_FIP	b_GDP	p_GF	p_GR	p_GS	p_HD	p_IP	p_L	b_OBP	b_OPS	b_PA	b_R/ePA	p_RA9	b_RBI	p_ROE	p_S	b_SB	b_SF	b_SH	p_SHO	b_SLG	b_TB	p_TBF	p_W	p_WHIP	p_WP	b_2B	b_3B	b_BB	b_H	b_HP	b_HR	b_IB	b_R	b_SO	b_WAR	b_dWAR	b_ePA	b_oWAR	p_2B	p_3B	p_BB	p_H	p_HP	p_HR	p_IB	p_R	p_SO	p_WAR	p_rRA	p_rRA9	b_wRC+
16160	에르난데스	54119	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54119.jpg		1995년 05월 03일	투수(우투우타)	185.0	97.0	베네수엘라 U.E.N Monsenor Perez Leon(고)-LG		800000달러	24 LG 자유선발	24LG	LG	2025.0	30.0	P	14.0	right	pitcher			0.0	0.0		31.0	4.23	3.8		0.0	0.0	14.0	0.0	66.0	4.0					4.36		0.0	0.0				0.0			276.0	4.0	1.17	3.0														14.0	0.0	24.0	53.0	5.0	7.0	0.0	32.0	73.0	1.47	31.0	4.23	
15532	오스틴	53123	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53123.jpg	23.0	1993년 10월 14일	내야수(우투우타)	183.0	97.0	미국 Klein Collins(고)	100000달러	1200000달러	23 LG 자유선발	23LG	LG	2025.0	32.0	1B	105.0	right	batter	384.0	0.294			0.0				9.0							0.378	0.935	450.0	0.182		80.0			2.0	9.0	0.0		0.557	214.0					21.0	1.0	55.0	113.0	2.0	26.0	7.0	72.0	58.0	3.58	-0.12	445.0	3.7													158.2
10475	오지환	79109	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79109.jpg	10.0	1990년 03월 12일	내야수(우투좌타)	185.0	80.0	군산초-자양중-경기고	28000만원	30000만원	09 LG 1차	09LG	LG	2025.0	35.0	SS	116.0	left	batter	375.0	0.24			6.0				4.0							0.309	0.72	427.0	0.113		55.0			9.0	6.0	6.0		0.411	154.0					20.0	1.0	37.0	90.0	3.0	14.0	0.0	49.0	104.0	2.28	0.25	421.0	2.03													96.5
14669	유영찬	50106	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50106.jpg	54.0	1997년 03월 07일	투수(우투좌타)	185.0	90.0	덕성초(안산리틀)-배명중-배명고-건국대		21000만원	20 LG 2차 5라운드 43순위	23LG	LG	2025.0	28.0	P	35.0	right	pitcher			0.0	0.0		10.0	2.43	2.93		32.0	35.0	0.0	0.0	37.0	2.0					2.92		2.0	21.0				0.0			159.0	2.0	1.3	2.0														7.0	0.0	21.0	27.0	2.0	1.0	3.0	12.0	46.0	1.23	14.4	3.5	
14783	이영빈	51100	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51100.jpg	7.0	2002년 06월 17일	내야수(우투좌타)	182.0	82.0	대전동산초(대전중구리틀)-충남중-세광고-LG-상무	13000만원	6000만원	21 LG 2차 1라운드 7순위	21LG	LG	2025.0	23.0	3B	41.0	left	batter	70.0	0.214			0.0				1.0							0.222	0.608	73.0	0.056		9.0			1.0	1.0	1.0		0.386	27.0					1.0	1.0	1.0	15.0	0.0	3.0	0.0	12.0	34.0	-0.08	-0.03	72.0	-0.05													47.3
14134	이정용	69134	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69134.jpg	31.0	1996년 03월 26일	투수(우투우타)	185.0	83.0	영일초-성남중-성남고-동아대-LG-상무	20000만원	27000만원	19 LG 1차	19LG	LG	2025.0	29.0	P	34.0	right	pitcher			0.0	0.0		17.0	5.1	4.53		2.0	34.0	0.0	7.0	30.0	1.0					5.1		0.0	1.0				0.0			120.0	6.0	1.2	0.0														2.0	1.0	10.0	26.0	2.0	3.0	0.0	17.0	22.0	0.59	14.05	4.22	
15081	이주헌	52154	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52154.jpg	26.0	2003년 03월 04일	포수(우투우타)	185.0	92.0	서울이수초-성남중-성남고	7000만원	3300만원	22 LG 2차 3라운드 27순위	22LG	LG	2025.0	22.0	C	72.0	right	batter	125.0	0.224			0.0				1.0							0.353	0.697	152.0	0.125		9.0			0.0	0.0	2.0		0.344	43.0					3.0	0.0	17.0	28.0	8.0	4.0	0.0	21.0	30.0	0.7	-0.36	150.0	1.07													107.9
14143	이지강	69108	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69108.jpg	32.0	1999년 07월 02일	투수(우투우타)	183.0	85.0	수원선일초-수원북중-소래고	3000만원	8300만원	19 LG 2차 9라운드 85순위	22LG	LG	2025.0	26.0	P	38.0	right	pitcher			1.0	0.0		25.0	5.04	4.41		6.0	37.0	1.0	4.0	44.2	2.0					5.24		2.0	2.0				0.0			198.0	1.0	1.57	0.0														8.0	2.0	22.0	48.0	0.0	4.0	0.0	26.0	38.0	0.14	28.95	5.83	
10652	임찬규	61101	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61101.jpg	1.0	1992년 11월 20일	투수(우투우타)	185.0	80.0	가동초-청원중-휘문고-LG-경찰	30000만원	20000만원	11 LG 1라운드 2순위	11LG	LG	2025.0	33.0	P	26.0	right	pitcher			0.0	1.0		50.0	2.9	3.82		1.0	0.0	26.0	0.0	155.1	6.0					3.24		8.0	0.0				1.0			648.0	11.0	1.25	1.0														36.0	3.0	39.0	155.0	6.0	9.0	1.0	56.0	104.0	5.52	53.45	3.1	
11164	장현식	63950	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63950.jpg	50.0	1995년 02월 24일	투수(우투우타)	181.0	91.0	신도초-서울이수중-서울고-NC-경찰-NC-KIA	15000만원	20000만원	13 NC 1라운드 9순위	13NC	LG	2025.0	30.0	P	53.0	right	pitcher			0.0	0.0		21.0	3.99	4.44		14.0	53.0	0.0	5.0	47.1	3.0					4.56		2.0	10.0				0.0			222.0	3.0	1.73	4.0														14.0	1.0	19.0	63.0	4.0	4.0	1.0	24.0	37.0	0.88	22.3	4.24	
14606	천성호	50054	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50054.jpg	59.0	1997년 10월 30일	내야수(우투좌타)	183.0	85.0	광주화정초-충장중-진흥고-단국대-KT-상무-KT	10000만원	7100만원	20 KT 2차 2라운드 12순위	20KT	LG	2025.0	28.0	2B	31.0	left	batter	67.0	0.209			1.0				1.0							0.346	0.659	81.0	0.115		7.0			0.0	0.0	0.0		0.313	21.0					5.0	1.0	10.0	14.0	4.0	0.0	0.0	10.0	12.0	0.89	0.55	81.0	0.34													91.1
15084	최원영	52103	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52103.jpg	3.0	2003년 07월 18일	외야수(우투우타)	174.0	76.0	부산수영초-사직중-부산고	5000만원	4000만원	22 LG 2차 6라운드 57순위	24LG	LG	2025.0	22.0	LF	113.0	right	batter	101.0	0.287			4.0				4.0							0.33	0.667	112.0	0.095		2.0			8.0	1.0	3.0		0.337	34.0					5.0	0.0	3.0	29.0	4.0	0.0	0.0	36.0	19.0	0.7	0.59	109.0	0.12													82.2
16286	치리노스	55146	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55146.jpg	46.0	1993년 12월 26일	투수(우투우타)	188.0	102.0	베네수엘라 U.E.N heroes nigales(고)	200000달러	800000달러	25 LG 자유선발	25LG	LG	2025.0	32.0	P	27.0	right	pitcher			0.0	0.0		59.0	3.3	3.12		0.0	0.0	27.0	0.0	160.2	4.0					3.59		5.0	0.0				0.0			669.0	12.0	1.16	4.0														23.0	1.0	34.0	153.0	8.0	4.0	0.0	64.0	123.0	5.29	59.35	3.32	
16404	톨허스트	55130	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55130.jpg	30.0	1999년 09월 13일	투수(우투우타)	193.0	86.0	미국 Grossmont(고)		270000달러	25 LG 자유선발	25LG	LG	2025.0	26.0	P	6.0	right	pitcher			0.0	0.0		6.0	1.54	3.66		0.0	0.0	6.0	0.0	35.0	1.0					1.8		2.0	0.0				0.0			141.0	5.0	1.09	0.0														5.0	1.0	13.0	25.0	2.0	2.0	1.0	7.0	32.0	1.74	7.0	1.8	
12546	홍창기	66108	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66108.jpg	51.0	1993년 11월 21일	외야수(우투좌타)	189.0	94.0	대일초-매송중-안산공고-건국대-LG-경찰	8000만원	65000만원	16 LG 2차 3라운드 27순위	16LG	LG	2025.0	32.0	RF	40.0	left	batter	135.0	0.274			0.0				4.0							0.396	0.715	171.0	0.138		16.0			2.0	4.0	2.0		0.319	43.0					3.0	0.0	24.0	37.0	6.0	1.0	0.0	24.0	35.0	0.77	-0.04	169.0	0.81													118.5
11411	김범수	65769	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65769.jpg	47.0	1995년 10월 03일	투수(좌투좌타)	181.0	92.0	온양온천초-온양중-북일고	20000만원	14300만원	15 한화 1차	15한화	HH	2025.0	30.0	P	68.0	left	pitcher			0.0	0.0		12.0	2.45	3.5		9.0	68.0	0.0	4.0	44.0	1.0					3.48		2.0	2.0				0.0			183.0	1.0	1.16	1.0														5.0	0.0	22.0	29.0	4.0	0.0	1.0	17.0	39.0	1.28	16.95	3.47	
15421	김서현	53754	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53754.jpg	44.0	2004년 05월 31일	투수(우투우타)	188.0	86.0	효제초-자양중-서울고	50000만원	5600만원	23 한화 1라운드 1순위	23한화	HH	2025.0	21.0	P	64.0	right	pitcher			0.0	0.0		18.0	2.66	3.18		47.0	64.0	0.0	2.0	61.0	3.0					2.66		1.0	31.0				0.0			260.0	1.0	1.28	7.0														7.0	3.0	30.0	48.0	8.0	1.0	3.0	18.0	67.0	2.67	20.75	3.06	
11117	김종수	63765	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63765.jpg	38.0	1994년 06월 03일	투수(우투우타)	180.0	88.0	성동초-덕수중-울산공고	3000만원	5500만원	13 한화 8라운드 74순위	13한화	HH	2025.0	31.0	P	59.0	right	pitcher			1.0	0.0		21.0	3.2	4.43		10.0	59.0	0.0	4.0	59.0	5.0					4.27		5.0	0.0				0.0			262.0	4.0	1.47	2.0														17.0	1.0	34.0	53.0	4.0	4.0	1.0	28.0	55.0	1.06	30.15	4.6	
12585	김태연	66704	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66704.jpg	25.0	1997년 06월 10일	외야수(우투우타)	178.0	96.0	서울청구초-덕수중-야탑고	5000만원	14600만원	16 한화 2차 6라운드 59순위	17한화	HH	2025.0	28.0	1B	110.0	right	batter	286.0	0.259			2.0				9.0							0.329	0.672	322.0	0.103		19.0			5.0	0.0	6.0		0.343	98.0					15.0	0.0	22.0	74.0	8.0	3.0	0.0	39.0	60.0	0.48	0.39	316.0	0.09													83.0
14125	노시환	69737	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69737.jpg	8.0	2000년 12월 03일	내야수(우투우타)	185.0	105.0	부산수영초-경남중-경남고	20000만원	33000만원	19 한화 2차 1라운드 3순위	19한화	HH	2025.0	25.0	3B	133.0	right	batter	500.0	0.25			4.0				20.0							0.345	0.825	579.0	0.147		94.0			13.0	4.0	0.0		0.48	240.0					24.0	2.0	66.0	125.0	9.0	29.0	10.0	91.0	119.0	3.61	0.14	573.0	3.47													118.1
10590	류현진	76715	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76715.jpg	99.0	1987년 03월 25일	투수(좌투우타)	190.0	113.0	창영초-동산중-동산고-(대전대)-한화-LA다저스-토론토	25000만원	200000만원	06 한화 2차 1라운드 2순위	06한화	HH	2025.0	38.0	P	24.0	left	pitcher			0.0	0.0		47.0	3.3	3.35		0.0	0.0	24.0	0.0	128.1	7.0					3.58		3.0	0.0				0.0			526.0	8.0	1.2	2.0														20.0	3.0	24.0	130.0	4.0	10.0	2.0	51.0	109.0	4.32	50.5	3.54	
16396	리베라토	55703	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55703.jpg	0.0	1995년 12월 18일	외야수(좌투좌타)	185.0	79.0	Esperanza Milena Martinez (고)		205000달러	25 한화 부상 대체 외국인선수	25한화	HH	2025.0	30.0	CF	52.0	left	batter	206.0	0.33			0.0				3.0							0.39	0.939	231.0	0.19		34.0			1.0	3.0	0.0		0.549	113.0					14.0	2.0	22.0	68.0	0.0	9.0	0.0	37.0	39.0	2.07	-0.39	231.0	2.45													153.0
15013	문동주	52701	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52701.jpg	1.0	2003년 12월 23일	투수(우투우타)	188.0	97.0	광주화정초-무등중-진흥고	50000만원	10000만원	22 한화 1차	22한화	HH	2025.0	22.0	P	22.0	right	pitcher			0.0	1.0		48.0	3.68	2.66		1.0	0.0	22.0	0.0	117.1	4.0					3.91		2.0	0.0				0.0			481.0	11.0	1.14	10.0														16.0	5.0	31.0	103.0	3.0	6.0	0.0	51.0	130.0	3.6	49.8	3.82	
15422	문현빈	53764	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53764.jpg	51.0	2004년 04월 20일	내야수(우투좌타)	174.0	82.0	대전유천초-온양중-북일고	15000만원	8800만원	23 한화 2라운드 11순위	23한화	HH	2025.0	21.0	LF	131.0	left	batter	490.0	0.327			5.0				10.0							0.376	0.841	550.0	0.155		75.0			16.0	10.0	5.0		0.465	228.0					28.0	2.0	36.0	160.0	9.0	12.0	2.0	66.0	76.0	2.44	-0.73	543.0	3.16													125.0
